code.ordinal,code.onset,code.offset,code.code01,
284,774996,775744,"L",
285,775778,0,"S",
286,776798,0,"B",
287,777274,779518,"C",
288,781966,782952,"C",
289,782986,0,"S",
290,784040,0,"B",
291,784278,784516,"L",
292,784584,785842,"R",
293,785910,786046,"L",
294,786080,787984,"R",
295,788052,0,"S",
296,795770,0,"B",
297,796382,796552,"L",
298,796620,798286,"R",
299,798762,0,"S",
300,799782,0,"B",
301,803182,805732,"C",
302,805800,0,"S",
303,806786,0,"B",
304,807024,807432,"L",
305,807466,808520,"R",
306,808554,809608,"L",
307,809710,810322,"R",
308,810798,0,"S",
309,818448,0,"B",
310,818720,821100,"R",
311,821134,821440,"L",
312,821474,0,"S",
313,822460,0,"B",
314,822562,828444,"C",
315,828478,0,"S",
316,829906,0,"B",
317,830144,830994,"R",
318,831028,831334,"L",
319,831504,832626,"R",
320,832660,833884,"L",
321,833918,0,"S",
